,load,day,hour,GFS_temp,NAM_temp,GFS_hum,NAM_dew,load_t_72,load_t_78,load_t_84,load_t_90
184,323.893,53,22,298.83611111111105,282.1989933333333,18.05555555555556,278.64938333333333,349.202,324.789,224.177,364.954
185,382.32,53,23,297.7963888888889,281.20892000000003,19.636111111111113,278.87737999999996,408.048,320.6140000000001,231.697,315.47
186,451.837,54,0,296.75666666666666,280.62506666666667,21.216666666666665,278.6688966666667,449.101,325.927,251.526,277.866
187,466.384,54,1,295.1466666666666,279.7380766666667,22.791666666666654,278.43558666666667,437.832,322.43,289.841,247.73
188,467.08,54,2,293.5366666666667,278.8028066666667,24.366666666666678,277.99627999999996,421.708,315.082,309.296,236.322
189,441.519,54,3,291.9266666666667,277.5825333333334,25.941666666666666,277.22064,395.151,319.773,316.329,230.329
190,392.918,54,4,291.2375000000001,276.54532000000006,26.177777777777763,276.27598333333333,346.824,349.202,324.789,224.177
191,329.415,54,5,290.54833333333323,275.59360666666663,26.41388888888891,275.3855899999999,300.083,408.048,320.6140000000001,231.697
192,287.314,54,6,289.5933333333333,275.1461800000001,26.191666666666666,273.98193,283.541,449.101,325.927,251.526
193,260.636,54,7,289.00000000000006,275.14696999999995,28.08611111111111,273.9881833333333,264.084,437.832,322.43,289.841
194,251.133,54,8,288.4066666666667,275.1242233333334,29.980555555555554,274.0396833333333,254.226,421.708,315.082,309.296
195,250.376,54,9,287.81333333333333,275.10071000000005,31.875,274.0737,250.817,395.151,319.773,316.329
196,255.415,54,10,287.40861111111104,275.1391066666667,32.988888888888894,274.17436333333336,254.511,346.824,349.202,324.789
197,280.769,54,11,287.0038888888889,275.09985,34.10277777777778,274.2206033333334,271.903,300.083,408.048,320.6140000000001
198,331.112,54,12,286.5991666666667,275.1413366666667,35.21666666666667,274.30933666666675,297.338,283.541,449.101,325.927
199,355.839,54,13,287.7419444444444,276.33572000000004,33.48888888888889,275.37899999999996,315.892,264.084,437.832,322.43
200,319.006,54,14,288.88472222222225,279.42412999999993,31.761111111111116,277.31626666666676,315.093,254.226,421.708,315.082
201,298.863,54,15,290.0275,282.03839666666664,30.03333333333333,279.19023333333325,319.064,250.817,395.151,319.773
202,285.38,54,16,292.09305555555557,283.8177733333334,26.113888888888898,280.52477333333337,313.269,254.511,346.824,349.202
203,278.913,54,17,294.1586111111111,285.37111666666675,22.194444444444432,281.5830633333333,309.627,271.903,300.083,408.048
204,275.01,54,18,296.2241666666667,286.3485033333334,18.275,282.23767000000004,308.708,297.338,283.541,449.101
205,267.99,54,19,296.42333333333335,286.8412333333334,15.752777777777785,282.8283666666667,306.4,315.892,264.084,437.832
206,272.825,54,20,296.6225,286.8303666666667,13.230555555555547,283.3064166666666,311.874,315.093,254.226,421.708
207,283.158,54,21,296.82166666666666,286.22605666666664,10.708333333333334,283.4667166666666,325.718,319.064,250.817,395.151
208,313.031,54,22,295.6344444444444,285.3798666666667,10.344444444444449,283.14588666666674,365.622,313.269,254.511,346.824
209,366.04,54,23,294.44722222222225,284.46431333333334,9.980555555555547,282.6085666666666,433.195,309.627,271.903,300.083
210,430.24300000000005,55,0,293.26,283.5673499999999,9.616666666666667,282.0885233333333,489.783,308.708,297.338,283.541
211,442.68,55,1,291.4111111111111,282.77792,10.45277777777778,281.6632,491.714,306.4,315.892,264.084
212,440.381,55,2,289.56222222222226,282.1348133333334,11.288888888888884,281.35959666666673,483.992,311.874,315.093,254.226
213,413.506,55,3,287.71333333333337,281.50397666666663,12.125,281.1038200000001,458.464,325.718,319.064,250.817
214,368.401,55,4,286.54472222222245,281.0761333333333,12.991666666666683,280.8008266666667,409.386,365.622,313.269,254.511
215,308.134,55,5,285.3761111111109,281.11158666666665,13.858333333333318,280.88233666666673,347.58,433.195,309.627,271.903
216,264.455,55,6,285.9533333333333,282.06910000000005,23.28333333333333,279.9910966666667,313.8520000000001,489.783,308.708,297.338
217,239.43,55,7,284.428611111111,281.7775366666667,24.797222222222207,280.07825666666673,288.91,491.714,306.4,315.892
218,223.035,55,8,282.90388888888896,281.36745333333346,26.31111111111112,280.01991333333336,281.99,483.992,311.874,315.093
219,221.062,55,9,281.37916666666666,281.0946333333334,27.825000000000003,280.1108166666666,283.117,458.464,325.718,319.064
220,226.044,55,10,280.30777777777763,280.4448833333334,31.822222222222226,279.8973633333333,289.623,409.386,365.622,313.269
221,258.026,55,11,279.236388888889,280.2462666666667,35.81944444444445,279.91994333333326,318.361,347.58,433.195,309.627
222,294.986,55,12,278.16499999999996,280.4349700000001,39.81666666666667,279.92111666666665,375.065,313.8520000000001,489.783,308.708
223,311.7340000000001,55,13,278.10444444444437,280.76612666666665,41.2,279.8794366666667,400.133,288.91,491.714,306.4
224,313.401,55,14,278.04388888888894,282.37586666666675,42.58333333333333,281.00059999999996,355.839,281.99,483.992,311.874
225,301.9170000000001,55,15,277.98333333333335,284.8259966666666,43.96666666666666,282.41044999999997,330.455,283.117,458.464,325.718
226,300.1040000000001,55,16,279.84944444444443,287.46805,37.566666666666656,283.5885600000001,314.788,289.623,409.386,365.622
227,294.046,55,17,281.71555555555557,289.58768666666657,31.166666666666675,284.2887833333333,304.981,318.361,347.58,433.195
228,289.202,55,18,283.58166666666665,291.0730366666668,24.766666666666666,284.8046066666667,305.393,375.065,313.8520000000001,489.783
229,282.16,55,19,284.67277777777775,291.9179933333333,21.636111111111116,285.0548466666666,299.843,400.133,288.91,491.714
230,279.55400000000003,55,20,285.7638888888889,291.96680000000003,18.50555555555555,284.99673333333334,305.082,355.839,281.99,483.992
231,279.782,55,21,286.85499999999996,291.2805333333334,15.375,284.93629999999996,315.592,330.455,283.117,458.464
232,306.779,55,22,286.4661111111113,289.91852000000006,15.511111111111125,284.95116999999993,355.485,314.788,289.623,409.386
233,359.841,55,23,286.0772222222221,288.4909333333333,15.64722222222221,285.1192833333333,422.459,304.981,318.361,347.58
234,413.581,56,0,285.6883333333334,287.36657999999994,15.783333333333331,285.32923666666665,489.296,305.393,375.065,313.8520000000001
235,422.153,56,1,284.121111111111,286.41559666666654,17.486111111111118,285.3479333333333,501.509,299.843,400.133,288.91
236,417.224,56,2,282.55388888888893,285.9489566666667,19.188888888888883,285.47756666666663,500.816,305.082,355.839,281.99
237,392.619,56,3,280.9866666666667,285.9813066666667,20.89166666666667,285.5408166666667,470.84,315.592,330.455,283.117
238,352.7290000000001,56,4,279.80861111111113,286.01326333333344,25.09166666666667,285.5361533333334,417.055,355.485,314.788,289.623
239,302.309,56,5,278.6305555555555,285.9796933333334,29.29166666666666,285.46218333333337,350.961,422.459,304.981,318.361
240,241.643,56,6,275.62916666666666,286.36247333333336,37.916666666666664,285.2305066666666,305.9790000000001,489.296,305.393,375.065
241,218.92,56,7,274.99250000000006,286.25748666666664,40.869444444444426,285.39435,278.629,501.509,299.843,400.133
242,202.993,56,8,274.35583333333324,286.2339033333333,43.82222222222223,285.50731666666667,269.116,500.816,305.082,355.839
243,196.917,56,9,273.71916666666664,286.04969666666665,46.775,285.4183166666667,267.469,470.84,315.592,330.455
