,load,day,hour,GFS_temp,NAM_temp,GFS_hum,NAM_dew,load_t_72,load_t_78,load_t_84,load_t_90
176,212.91,52,14,273.8183333333333,272.8072166666667,68.21944444444446,267.83471999999995,239.081,188.268,284.172,204.02
177,222.818,52,15,275.7416666666667,274.49535000000003,63.35,268.9777966666667,256.459,190.24400000000003,267.435,200.427
178,217.126,52,16,276.4647222222222,275.94185333333326,62.36944444444444,270.0361766666667,227.845,190.061,241.424,248.398
179,190.878,52,17,277.18777777777785,277.1155033333333,61.38888888888889,270.70389666666665,224.779,192.829,215.722,289.16
180,193.521,52,18,277.91083333333336,277.96486333333337,60.40833333333333,270.9418833333333,226.984,205.081,203.879,314.4240000000001
181,191.623,52,19,277.57694444444434,278.4517833333333,64.28333333333333,271.00394666666676,209.318,226.346,195.085,297.959
182,203.931,52,20,277.24305555555566,278.40891666666676,68.15833333333335,271.12461666666667,216.594,239.081,188.268,284.172
183,202.111,52,21,276.90916666666664,277.9037266666666,72.03333333333333,271.37799,219.051,256.459,190.24400000000003,267.435
184,225.453,52,22,276.00944444444434,277.26922999999994,75.7277777777778,270.95395,235.324,227.845,190.061,241.424
185,273.963,52,23,275.10972222222233,276.5795600000001,79.4222222222222,270.82428666666664,246.318,224.779,192.829,215.722
186,293.241,53,0,274.2100000000001,275.7597833333333,83.11666666666666,270.73252666666673,258.075,226.984,205.081,203.879
187,297.327,53,1,274.22944444444454,275.0436766666667,84.05833333333334,270.90564,265.033,209.318,226.346,195.085
188,283.716,53,2,274.24888888888887,274.67803999999995,84.99999999999999,271.4681033333334,264.713,216.594,239.081,188.268
189,261.85,53,3,274.2683333333334,274.57718666666665,85.94166666666666,272.3640566666666,253.776,219.051,256.459,190.24400000000003
190,225.41,53,4,274.3097222222224,274.65260333333333,87.32222222222221,272.89023,220.067,235.324,227.845,190.061
191,190.64,53,5,274.35111111111104,274.8605533333333,88.70277777777778,273.0578300000001,197.757,246.318,224.779,192.829
192,175.965,53,6,273.7341666666667,275.52014999999994,90.80833333333332,273.01004666666677,179.49599999999995,258.075,226.984,205.081
193,166.708,53,7,273.78916666666663,275.41933333333344,91.33888888888889,273.1337333333334,163.71200000000005,265.033,209.318,226.346
194,161.3,53,8,273.8441666666667,275.4967166666667,91.86944444444445,273.2325866666667,155.783,264.713,216.594,239.081
195,167.49400000000003,53,9,273.89916666666664,275.4983966666666,92.39999999999999,273.4717166666666,156.481,253.776,219.051,256.459
